customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,NEW_Engaged,NEW_noProt,NEW_Young_Not_Engaged,NEW_TotalServices,NEW_FLAG_ANY_STREAMING,NEW_FLAG_AutoPayment,NEW_AVG_Charges,NEW_Increase,NEW_AVG_Service_Fee,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,NEW_TENURE_YEAR_1-2 Year,NEW_TENURE_YEAR_2-3 Year,NEW_TENURE_YEAR_3-4 Year,NEW_TENURE_YEAR_4-5 Year,NEW_TENURE_YEAR_5-6 Year
3655-SNQYZ,0,0,1,1,1.4915401492832983,1,0,1.611554480242174,2.4774254861848592,0,1,0,0,7,1,1,1.7593635504615937,0.6410568141376126,-0.4221183939395352,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
8191-XWSZG,0,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5544717671146129,0,1,1,0,1,0,0,-1.2980050528914275,0.24271713774238482,-0.9748811654515149,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
9959-WOFKT,1,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.251142767227713,0,1,1,0,5,1,1,1.423934479174834,0.4135009544146246,0.10118774265772261,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
4190-MFLUW,0,0,1,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.7726808386611219,1,0,1,1,3,0,1,-0.3583989519305749,-0.17695352963109684,-0.47351721608665226,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4183-MYFRB,0,0,0,0,-0.46303730927815856,1,1,0.8404806721650927,-0.18390017462474187,0,0,1,1,4,1,0,0.8400432438030596,0.2795653302667874,0.13389061897120952,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8779-QRDMV,1,1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.988286930987808,1,0,1,0,2,1,0,-1.2808664594504295,-2.5842152492016757,-0.5576790301287156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1680-VDCWW,1,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9165505884211634,0,1,1,0,1,0,1,-1.4204232384309377,-0.7258567138893596,-1.0361990585393037,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1066-JKSGK,1,0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9968899979007819,1,0,1,1,1,0,0,-1.5997275993473095,-2.5842152492016757,-1.010950514326685,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3638-WEABW,0,0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.5406104143232504,0,1,1,0,3,0,1,0.013659881520749265,0.6142291404967006,-0.3039912763733536,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
6322-HRPFA,1,0,1,1,0.6771328748826912,1,0,-0.17155370093607614,0.3046657894484568,0,0,1,1,4,0,1,0.013578953704278604,0.6464268432907365,-0.7447587196279305,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6865-JZNKO,0,0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,-0.33050525848019063,0,0,1,1,3,0,1,-0.3144983017199437,-0.02931526098320744,-0.46991028119913547,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6467-CHFZW,1,0,1,1,0.5956921474426305,1,1,1.1495749141959914,1.0894640242250588,1,0,1,1,4,1,0,1.30650773246281,0.6407979579858564,0.402246574602474,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
8665-UTDHZ,1,0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.9924561095687108,1,0,1,1,1,0,0,-1.4353914734004558,-2.5842152492016757,-0.2859566019357686,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5248-YGIJN,1,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.8043127072554035,0,1,0,0,7,1,1,0.9242705610327733,0.4516068649950405,-0.8369159060039898,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
8773-HHUOZ,0,0,0,1,-0.62591876415828,1,1,-0.0020504069191315333,-0.5235227853738373,1,0,1,1,3,1,0,0.056805986413261574,0.26830985377881034,-0.13085840177253763,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
3841-NFECX,0,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.9796829174044883,0,1,0,0,5,0,1,1.144454052709663,0.5079870240418531,-0.14769076458095035,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
4929-XIHVW,1,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9256389565446128,0,0,1,0,4,1,1,0.050991994118845786,-1.71252543695525,0.29115298006695106,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
6827-IEAUQ,0,0,1,1,-0.21871512695797646,1,0,0.046141706085686136,-0.1788045119147496,0,1,0,0,5,0,0,0.26012051828930827,0.7457227001749158,-0.873886988601039,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
7310-EGVHZ,1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9968679387548512,0,0,1,1,1,0,1,-1.598910006680907,-2.5842152492016757,-1.0073435794391679,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3413-BMNZE,1,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9858163066435692,0,0,1,0,1,0,1,-1.1892960808133768,-2.5842152492016757,0.7997307992068473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,0,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.193546337202649,0,1,1,0,5,1,1,1.319515015790795,0.6310325924717916,-0.062326638909714495,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6047-YHPVI,1,0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8659689668020626,1,0,1,1,1,0,0,-0.20191667068825234,-0.9077671815726036,2.563521959202659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6572-ADKRS,0,0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.5596695164073775,0,0,1,1,2,0,1,0.5397732439182198,0.7280891525851784,1.1327711204875834,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5380-WJKOV,1,0,0,0,0.06632741908223598,1,1,1.3822264942192488,0.5600886401800608,1,0,1,1,5,1,0,1.3871720089248183,0.36532573513462924,0.09277156125351574,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
8168-UQWWF,0,0,0,0,-0.8702409464784621,1,1,1.099721004191008,-0.5180962354748845,1,0,1,1,4,1,1,1.0833390008960946,0.28652900986428875,0.3589633559522704,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8865-TNMNX,1,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.7959091193261516,0,1,1,0,2,0,0,-0.5149307842435887,-0.15989886465231018,-0.08156362497647225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9489-DEDVP,0,0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.1438177597983101,0,1,1,0,4,1,1,0.3150629099771068,0.6135230407259321,-0.4677461202666252,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
9867-JCZSP,0,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.8212550780005288,0,1,1,0,1,0,0,-1.1693104823013216,1.4468122548974336,-0.9676672956764809,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
4671-VJLCL,0,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.1390088659854167,0,1,0,0,6,1,1,0.5549612236433612,0.35077634142436154,-0.8187524124632792,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
4080-IIARD,0,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.5727808582370959,0,0,1,1,5,1,0,0.3634291916368506,0.14726992008413517,-0.6322223511374001,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
3714-NTNFO,0,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7177894744386527,0,0,1,1,2,1,0,0.6260539719595365,0.17763108471395175,1.5992680326064483,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5948-UJZLF,1,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9629850906052922,0,0,1,1,2,0,0,-0.8717975953605006,-1.5663046793344144,-0.09599136452653993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7760-OYPDY,0,0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-0.9421833159926397,1,0,1,1,2,1,0,-0.3578043390822822,-1.961270558735399,1.4141120417139095,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7639-LIAYI,1,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8550414804194837,0,1,1,0,5,1,1,0.673380554848382,0.6538251531566893,-0.5468582254661647,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
2954-PIBKO,0,0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.8710564203651738,0,1,1,0,4,0,1,0.05828024874506023,0.32521654737116795,-0.6134662897223115,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
8012-SOUDQ,0,1,0,0,0.43281069256250915,1,1,0.8471278601657574,0.6878110951188281,0,0,1,0,3,1,0,0.9239951453213638,0.4509999890906535,0.7907134619880548,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
9420-LOJKX,0,0,0,0,-0.7073594915983407,1,1,1.141265929195161,-0.37647651859977455,1,0,1,1,5,1,1,0.9863180044830268,0.014608959263204047,-0.08156362497647225,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
6575-SUVOI,0,1,1,0,-0.30015585439803716,1,1,0.1574821050968162,-0.23254059140194083,0,0,1,0,4,1,1,0.2753268434309111,0.47198378098451227,-0.45908947653658433,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
7495-OOKFY,0,1,1,0,-0.9924020376385531,1,1,0.5280628361338618,-0.7263786913525774,1,0,1,0,2,0,1,0.37203338112613127,-0.16165256405504483,1.4141120417139095,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4667-QONEA,0,1,1,1,1.125056875803025,1,1,0.33529438411459117,0.9602856656548654,0,1,0,0,6,1,1,0.45994916522156104,0.5116239202976891,-0.921807694963765,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1658-BYGOY,1,1,0,0,-0.5851984004382496,1,1,1.0199547481830342,-0.2325847096938023,1,0,1,0,3,1,0,1.0873552455731579,0.44884252103766603,0.9782740761389387,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
8769-KKTPH,0,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.778613802246135,0,1,1,0,4,1,1,1.2957768287162803,0.5998842719974185,0.4109032183325151,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
5067-XJQFU,1,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.1161849124236753,0,1,0,0,6,1,0,1.5248553112541365,0.49771441140885014,-0.22927619656050136,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
3957-SQXML,0,0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.6112299495943104,0,1,1,0,1,0,1,-1.0935910192633758,0.8243684919680553,-0.6646847651250533,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
5954-BDFSG,0,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.459138454208307,0,1,1,0,5,1,1,1.5892085967081422,0.6727346110684495,0.12042472872447985,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
0434-CSFON,0,0,1,0,0.5956921474426305,1,1,1.1877962451998125,1.0709122824973383,0,0,1,1,4,1,0,1.2778579227776314,0.5099940430785661,0.4354303755676309,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1215-FIGMP,1,0,0,0,1.125056875803025,1,1,0.8354952811645946,1.3989759007787455,0,0,1,1,3,1,1,0.993046390032763,0.6282228634881278,0.7780891898817456,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0526-SXDJP,1,0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.3010039712239601,0,1,1,0,3,0,1,-0.6022533464370172,0.43206670840648553,-0.9460256863513788,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0557-ASKVU,0,0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.5835236623053481,0,1,1,0,3,0,1,-0.28181125229984116,0.18624266365415248,-0.5023726951867884,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
5698-BQJOH,0,0,0,0,-0.9516816739185228,1,0,0.9850570111795457,-0.6275757767289609,1,0,1,1,3,1,0,0.8743078091859173,0.06993818416347602,0.9404012598200103,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
5122-CYFXA,0,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8980870832771656,0,0,1,1,5,1,0,0.06652625478048846,-0.5653282306090174,-0.6538639604625024,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
8627-ZYGSZ,1,0,1,0,0.5956921474426305,1,1,0.46989994112804756,0.6046922332519411,0,1,1,0,2,0,0,0.5578653809271442,0.432588740984492,1.3299502276718458,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
3410-YOQBQ,0,0,0,0,-0.055833672077855064,1,0,0.47987072312904416,0.09594215065214973,0,1,0,0,6,1,0,0.6228980642672235,0.5721359765422838,-0.8321495991883422,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
3170-NMYVV,0,0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.5950826547730361,0,1,1,0,1,0,1,-1.3322786100612536,0.055300782238057004,-1.010950514326685,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
7410-OIEDU,1,0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.614296170878678,0,0,1,1,3,0,0,0.7089311107545522,0.73423563199053,0.415592233686287,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2273-QCKXA,1,0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-0.9841398115528358,0,0,1,1,2,0,0,-1.1271590381668053,-2.5842152492016757,-0.10560985755991906,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0731-EBJQB,0,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.5246036835244418,0,1,1,0,1,0,0,-1.2562306955212899,0.7244398986589887,-0.9929158398890999,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
1891-QRQSA,1,1,1,1,1.2879383306831464,1,1,1.5567151792366918,2.1261777055302837,0,1,1,0,6,1,1,1.6425304568861914,0.528630047201824,-0.16435136858519578,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
8028-PNXHQ,1,0,1,1,1.2064976032430856,1,1,-1.3464441800535252,-0.3772706478532799,0,1,1,0,1,0,1,-1.189698388315892,0.2284873817746151,-0.7151818535502912,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
5630-AHZIL,0,0,0,1,-1.1960038562387048,1,1,-0.00869759491979612,-0.9275139839487225,0,0,1,1,4,1,1,-0.4788080537098162,-1.3641557015498387,-0.6033668720372642,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2673-CXQEU,0,1,0,0,0.9621754209229036,1,0,1.5201556452330371,1.702862695120103,0,1,1,0,6,1,0,1.593316012497249,0.503418203110542,-0.18702353073530228,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
6416-JNVRK,0,0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.18049485700453238,0,1,1,0,2,1,1,-0.058252302583413414,0.8498584342523918,0.21180041254157703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
5590-ZSKRV,0,0,1,1,-0.9924020376385531,1,0,-0.33607160395252245,-0.7930193712092296,0,0,1,1,3,0,0,-0.17684382891858297,0.540657689219198,-0.4933553579679959,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0191-ZHSKZ,1,1,0,0,-0.0965540357978854,1,1,0.3319707901142591,-0.07431033764101187,0,0,1,0,5,1,0,0.2981159710281728,0.08957447577937375,-0.6670893883833977,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
3887-PBQAO,0,0,1,1,0.5142514200025698,1,1,-1.2916048790480432,-0.4690366949250022,0,1,1,0,1,0,1,-1.0642754978683016,0.8051583030840678,-0.5961530022622303,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
5919-TMRGD,0,0,0,1,-1.2774445836787656,1,1,0.48485611412954227,-0.9707719691188302,1,0,1,1,2,1,0,-0.6316978823270383,-2.5842152492016757,1.3515918369969477,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8108-UXRQN,0,0,1,1,-0.8702409464784621,0,0,-0.47233895796614456,-0.7563570706724021,0,0,1,1,3,1,0,-0.38846406407236683,0.22533711117162444,-0.6412396883561928,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
9191-MYQKX,0,0,1,0,-1.0331224013585834,1,1,0.34526516611558833,-0.7865560414515337,1,0,1,1,2,0,1,0.10209153576898655,-0.46069356616807655,1.149603483295996,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9919-YLNNG,0,0,0,0,0.3920903288424788,1,1,1.2974748472107767,0.9034392465914449,0,0,0,1,6,1,1,1.3620683829351516,0.469576371646649,-0.3251176092859533,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0318-ZOPWS,0,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5763544398778698,0,1,1,0,1,0,1,-1.2925743864333097,0.447150962945732,-1.010950514326685,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
4445-ZJNMU,1,0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.6004430272341968,0,0,1,1,4,1,1,1.0754356051208724,0.1812982450715614,0.40080380064746746,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
4808-YNLEU,0,0,1,0,0.10704778280226633,1,1,-0.08680205392760396,-0.028361136667358768,0,1,1,0,3,1,1,0.0833777480713349,0.603792596505498,-0.22283524140422117,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1862-QRWPE,0,0,1,1,0.6364125111626608,1,0,-1.4660935640654862,-0.5394494887358046,0,1,1,0,1,0,1,-1.2237517717546145,0.9577960762474723,-0.9748811654515149,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
2796-NNUFI,0,0,1,1,0.5549717837226001,1,1,-1.4893587220678117,-0.5967591498637697,0,1,1,0,1,0,0,-1.2841194345273916,0.5944206233537577,-1.0253782538767529,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
3016-KSVCP,1,0,1,0,-0.13727439951791576,0,0,-1.0307027500219619,-0.5605159730996254,0,0,1,1,1,1,0,-0.8290102458187826,0.6467205274939559,-0.02986422492206183,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
